iter,objective,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
1,32.42017841733983,4577035.194253822,431721.2155879321,832873846.2285514,8.600673318782485,,0.7226009368896484,"(512, 512)",8,3,"(2, 2)",1,20,2048
2,35.480679116115596,8789767.693923542,4448843.521209404,1213926513.5429137,219.72218327750815,,0.6799831390380859,"(256, 256)",4,1,"(2, 2)",0,10,512
